interaction_id,customer_id,date,channel,touchpoint,product,region,csat_score,resolution_time_hrs,resolution_status,first_contact_resolution,effort_score,sentiment,age_group,tenure_months
INT000001,CX01502,2026-02-09,Mobile App,Feedback,Basic Plan,North America,4.27,0.2,Pending,1,1.3,Negative,36-45,23
INT000002,CX01079,2026-05-30,In-Store,Support,Basic Plan,Latin America,3.88,0.78,Pending,1,1.6,Negative,36-45,40
INT000003,CX01106,2026-05-28,Mobile App,Support,Pro Plan,North America,3.08,0.18,Resolved,1,2.3,Positive,26-35,30
INT000004,CX02078,2026-02-18,Mobile App,Complaint,Pro Plan,Latin America,3.36,0.12,Resolved,1,4.9,Positive,55+,37
INT000005,CX03903,2026-03-29,Phone,Purchase,Add-on Services,Latin America,4.48,0.35,Resolved,1,3.6,Neutral,55+,4
INT000006,CX00097,2026-03-15,Mobile App,Support,Enterprise Plan,Europe,3.19,0.19,Resolved,1,3.4,Negative,18-25,8
INT000007,CX01557,2026-03-08,Mobile App,Support,Basic Plan,Latin America,3.91,0.14,Resolved,1,2.1,Positive,46-55,4
INT000008,CX02262,2025-07-25,Mobile App,Support,Enterprise Plan,North America,2.89,0.08,Resolved,0,2.6,Neutral,26-35,47
INT000009,CX00577,2025-08-10,Phone,Onboarding,Enterprise Plan,North America,4.95,0.34,Resolved,0,1.5,Negative,36-45,32
INT000010,CX00531,2026-02-23,Live Chat,Renewal,Add-on Services,Europe,4.43,0.27,Escalated,1,3.3,Positive,55+,54
INT000011,CX02259,2026-02-08,Phone,Support,Enterprise Plan,Latin America,4.2,0.13,Resolved,0,2.2,Positive,18-25,20
INT000012,CX04859,2025-09-27,Mobile App,Onboarding,Add-on Services,Europe,4.99,0.15,Escalated,0,4.2,Positive,26-35,16
INT000013,CX01025,2026-02-19,In-Store,Renewal,Pro Plan,Latin America,4.38,0.14,Resolved,1,1.3,Negative,46-55,28
INT000014,CX01214,2025-11-05,Live Chat,Renewal,Add-on Services,Asia Pacific,3.85,0.27,Pending,0,3.9,Neutral,55+,29
INT000015,CX00749,2026-01-18,Phone,Purchase,Enterprise Plan,Europe,3.66,0.1,Escalated,1,1.2,Negative,36-45,52
INT000016,CX00376,2026-04-02,Mobile App,Feedback,Add-on Services,Europe,4.99,0.06,Escalated,1,3.2,Negative,36-45,8
INT000017,CX00039,2026-01-18,Email,Renewal,Add-on Services,North America,3.75,3.43,Resolved,0,3.0,Positive,55+,43
INT000018,CX02870,2026-03-10,Website,Support,Pro Plan,Europe,3.14,0.17,Resolved,1,4.9,Negative,46-55,5
INT000019,CX00356,2025-09-29,Phone,Feedback,Add-on Services,Europe,4.51,0.3,Pending,1,1.1,Neutral,55+,7
INT000020,CX02281,2025-06-26,Phone,Complaint,Pro Plan,Latin America,1.66,0.48,Pending,1,1.3,Neutral,36-45,45
INT000021,CX00224,2026-01-15,Mobile App,Renewal,Add-on Services,North America,3.54,0.19,Escalated,1,3.7,Negative,55+,56
INT000022,CX01123,2025-06-18,Email,Feedback,Add-on Services,Asia Pacific,2.91,4.9,Pending,1,3.7,Positive,18-25,7
INT000023,CX04919,2025-10-20,Phone,Onboarding,Add-on Services,North America,4.24,0.22,Resolved,1,1.1,Neutral,55+,25
INT000024,CX04390,2025-12-28,Live Chat,Renewal,Enterprise Plan,Europe,3.22,0.16,Pending,0,4.2,Positive,26-35,20
INT000025,CX01467,2026-05-02,Live Chat,Renewal,Pro Plan,North America,4.16,0.14,Pending,1,3.3,Negative,55+,34
