customer_id,age_group,region,product,tenure_months,lifetime_value,nps_score,churn_risk,acquisition_channel
CX00001,18-25,North America,Enterprise Plan,16,11548.93,1,High,In-Store
CX00002,55+,North America,Add-on Services,3,1974.96,3,Low,Live Chat
CX00003,55+,North America,Pro Plan,46,32669.28,8,Medium,Mobile App
CX00004,46-55,Asia Pacific,Basic Plan,49,40388.05,6,Medium,Phone
CX00005,26-35,Europe,Enterprise Plan,7,5090.92,1,Medium,Phone
CX00006,55+,Asia Pacific,Basic Plan,47,23241.53,1,Medium,Website
CX00007,55+,Asia Pacific,Enterprise Plan,37,10018.29,1,Low,In-Store
CX00008,26-35,Asia Pacific,Basic Plan,55,12023.15,1,Medium,Phone
CX00009,46-55,Asia Pacific,Pro Plan,24,18085.9,10,Medium,In-Store
CX00010,18-25,Europe,Pro Plan,11,23381.88,4,High,In-Store
CX00011,55+,Europe,Enterprise Plan,54,38531.52,0,Low,Website
CX00012,36-45,Latin America,Enterprise Plan,5,10943.65,9,High,Phone
CX00013,26-35,Latin America,Add-on Services,57,45770.11,7,Low,Phone
CX00014,26-35,Europe,Enterprise Plan,48,29437.01,9,Medium,Phone
CX00015,26-35,Europe,Add-on Services,6,37911.22,1,Low,In-Store
CX00016,26-35,Latin America,Basic Plan,25,19390.15,7,High,Phone
CX00017,55+,North America,Basic Plan,44,44297.03,4,High,Phone
CX00018,18-25,Asia Pacific,Add-on Services,11,22959.32,4,High,Mobile App
CX00019,55+,North America,Enterprise Plan,54,32128.0,9,Low,Mobile App
CX00020,36-45,Europe,Basic Plan,39,16545.72,0,Low,Phone
CX00021,36-45,Europe,Basic Plan,16,43961.48,1,Low,In-Store
CX00022,46-55,North America,Pro Plan,9,33157.67,8,Low,Phone
CX00023,55+,Latin America,Pro Plan,60,27195.16,3,High,Phone
CX00024,46-55,Asia Pacific,Add-on Services,58,26120.0,1,Low,Mobile App
CX00025,18-25,Asia Pacific,Basic Plan,38,27919.12,9,Low,Website
CX00026,18-25,North America,Pro Plan,5,45318.29,5,Low,Live Chat
CX00027,26-35,Asia Pacific,Add-on Services,14,27192.08,9,High,Email
CX00028,26-35,Latin America,Add-on Services,13,5169.13,10,Medium,Phone
CX00029,46-55,Latin America,Add-on Services,56,36589.25,10,High,In-Store
CX00030,18-25,North America,Add-on Services,47,17295.48,1,Low,Mobile App
CX00031,26-35,Latin America,Pro Plan,28,9582.66,7,Low,Website
CX00032,46-55,North America,Basic Plan,42,49964.48,0,Low,Mobile App
CX00033,26-35,Latin America,Add-on Services,31,11080.49,6,Low,Mobile App
CX00034,46-55,North America,Add-on Services,17,46362.64,7,Medium,Email
CX00035,55+,Latin America,Pro Plan,13,15187.04,0,High,In-Store
CX00036,55+,North America,Enterprise Plan,4,2982.05,7,High,Live Chat
CX00037,26-35,North America,Basic Plan,55,9698.34,9,Low,In-Store
CX00038,26-35,Latin America,Basic Plan,57,28698.93,9,High,Website
CX00039,55+,North America,Add-on Services,43,29391.78,8,Medium,Phone
CX00040,26-35,Asia Pacific,Pro Plan,17,20091.4,10,High,Phone
